type,id,lat,lon,tags_amenity,tags_cuisine,tags_name,tags_source,tags_addr:city,tags_addr:street,tags_internet_access,tags_opening_hours,tags_phone,tags_smoking,tags_wheelchair,tags_name:en,tags_operator,tags_addr:postcode,tags_addr:housenumber,tags_name:ne,nodes,tags_building,tags_atm,tags_sorey,tags_addr:housename,tags_email,tags_service:type,tags_contact:phone,tags_contact:email,tags_office,tags_social_facility,tags_nrb_class,tags_website,tags_roof:material,tags_roof:shape,tags_healthcare,tags_addr:hamlet,tags_operator:type,tags_fixme,tags_addr:municipality,tags_addr:province,tags_note,tags_building:levels,tags_CONS_TYPE,tags_building:use,tags_green_roof,tags_building_count,tags_isced:level,tags_personnel:count,tags_student:count,tags_oid,tags_barrier,tags_government,tags_school,tags_boundary,tags_operator:en,tags_operator:ne,tags_operator:wikidata,tags_landuse,tags_layer,tags_emergency,tags_wikidata,tags_building:part,tags_dispensing,tags_shop,tags_addr:house,tags_capacity,tags_access,tags_parking,tags_covered,tags_fee,tags_supervised,tags_surface,tags_description,tags_delivery,tags_drive_through
way,206055912,,,cafe,coffee_shop,Mahalaxmi Bakery Cafe,,,KU road,no,,+9779849922835,,,Manakamana Bakery and Cafe,,,,,"[2160558621, 2160558619, 2160558615, 2160558617, 2160558621]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,219014721,,,cafe,,Junction Cafe,,,,,,,,,,,,,,"[2282198072, 2282198071, 2282198069, 2282198070, 2282198072]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,342118530,,,cafe,,,,,,,,,,,,,,,,"[3491459316, 3491459322, 3491459301, 3491459191, 3491459316]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,391847150,,,cafe,nepali,KU Canteen,,,,no,Su-Fr 08:30-16:00,,no,,,,,,,"[3951063401, 3951063402, 3951063404, 2054102710, 2054102736, 3951063401]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,435441195,,,cafe,,Cafeteria,,,,,,,,,,,,,,"[4333620909, 4333620910, 4333620911, 4333620912, 4333620909]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2054102710,27.6193577,85.5389798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2054102736,27.6193442,85.5387769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3951063401,27.6191686,85.5387918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3951063402,27.6191796,85.5389564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3951063404,27.6191821,85.5389947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4333620909,27.6220313,85.5373062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4333620910,27.6220133,85.5373347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4333620911,27.6219719,85.5372981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4333620912,27.6220061,85.5372574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3491459191,27.6342747,85.5230598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3491459301,27.6342876,85.5231064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3491459316,27.6343212,85.5230434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3491459322,27.6343341,85.5230901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2160558615,27.6209733,85.5383574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2160558617,27.6209509,85.5382372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2160558619,27.6210307,85.5383437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2160558621,27.6210083,85.5382236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
